"Perioden";"Waarde in werkelijke prijzen/Toerisme: toegevoegde waarde basisprijs (mln euro)";"Waarde in werkelijke prijzen/Toerisme: bestedingen NL economie totaal (mln euro)";"Waarde in werkelijke prijzen/Recreatieve bestedingen van huishoudens (mln euro)";"Volume-indexcijfers/Toerisme: toegevoegde waarde basisprijs (2021=100)";"Volume-indexcijfers/Toerisme: bestedingen NL economie totaal (2021=100)";"Volume-indexcijfers/Recreatieve bestedingen van huishoudens (2021=100)";"Aandeel toerisme/Toerisme: toegevoegde waarde basisprijs (%)";"Aandeel toerisme/Recreatieve bestedingen van huishoudens (%)";"Werkgelegenheid/Toerisme: banen (x 1 000)";"Werkgelegenheid/Toerisme: werkzame personen (x 1 000)";"Werkgelegenheid/Toerisme: arbeidsvolume (x 1 000)";"Aandeel toerisme in werkgelegenheid/Toerisme: banen (%)";"Aandeel toerisme in werkgelegenheid/Toerisme: werkzame personen (%)";"Aandeel toerisme in werkgelegenheid/Toerisme: arbeidsvolume (%)"
"2012";19257;65290;59482;130,6;123,2;146,4;3,2;19,8;642;550;382;6,5;6,2;5,4
"2013";20181;66337;59156;133,5;124,7;144,1;3,4;19,4;648;555;387;6,6;6,4;5,6
"2014";22090;69471;60088;142,3;130,9;146,1;3,6;19,4;673;577;400;6,9;6,6;5,8
"2015";24304;73179;62164;149,5;138,1;150,2;3,9;19,6;687;589;409;6,9;6,7;5,8
"2016";26237;76144;62855;157,2;144,8;152,6;4,1;19,5;705;604;424;7;6,8;5,9
"2017";28154;81075;65693;165,2;152,1;156;4,2;19,5;732;627;444;7,1;6,9;6,1
"2018";29978;85124;67669;172,9;157;157,7;4,3;19,2;751;639;463;7,1;6,8;6,1
"2019";31534;89186;69894;178,5;160,6;158,7;4,3;19,2;777;661;480;7,2;6,9;6,2
"2020";16387;53424;40661;87;92,8;91,6;2,3;11,7;654;555;390;6,1;5,8;5,1
"2021";18865;59379;46271;100;100;100;2,4;12,2;627;532;365;5,8;5,5;4,6
"2022*";30876;92062;75059;160,9;142,7;146,4;3,5;17,2;726;621;425;6,4;6,2;5,2
"2023*";36732;104934;83961;175,6;155;156,4;3,8;17,8;768;666;449;6,7;6,5;5,4
