Identifier;DimensionGroupId;DimensionId;Index;Title;Description;Status
2024JJ00;0;Perioden;1;2024;;
2025JJ00;0;Perioden;2;2025;;
2026JJ00;0;Perioden;3;2026;;
2027JJ00;0;Perioden;4;2027;;
2028JJ00;0;Perioden;5;2028;;
2029JJ00;0;Perioden;6;2029;;
2030JJ00;0;Perioden;7;2030;;
2031JJ00;0;Perioden;8;2031;;
2032JJ00;0;Perioden;9;2032;;
2033JJ00;0;Perioden;10;2033;;
2034JJ00;0;Perioden;11;2034;;
2035JJ00;0;Perioden;12;2035;;
2036JJ00;0;Perioden;13;2036;;
2037JJ00;0;Perioden;14;2037;;
2038JJ00;0;Perioden;15;2038;;
2039JJ00;0;Perioden;16;2039;;
2040JJ00;0;Perioden;17;2040;;
2041JJ00;0;Perioden;18;2041;;
2042JJ00;0;Perioden;19;2042;;
2043JJ00;0;Perioden;20;2043;;
2044JJ00;0;Perioden;21;2044;;
2045JJ00;0;Perioden;22;2045;;
2046JJ00;0;Perioden;23;2046;;
2047JJ00;0;Perioden;24;2047;;
2048JJ00;0;Perioden;25;2048;;
2049JJ00;0;Perioden;26;2049;;
2050JJ00;0;Perioden;27;2050;;
2051JJ00;0;Perioden;28;2051;;
2052JJ00;0;Perioden;29;2052;;
2053JJ00;0;Perioden;30;2053;;
2054JJ00;0;Perioden;31;2054;;
2055JJ00;0;Perioden;32;2055;;
2056JJ00;0;Perioden;33;2056;;
2057JJ00;0;Perioden;34;2057;;
2058JJ00;0;Perioden;35;2058;;
2059JJ00;0;Perioden;36;2059;;
2060JJ00;0;Perioden;37;2060;;
2061JJ00;0;Perioden;38;2061;;
2062JJ00;0;Perioden;39;2062;;
2063JJ00;0;Perioden;40;2063;;
2064JJ00;0;Perioden;41;2064;;
2065JJ00;0;Perioden;42;2065;;
2066JJ00;0;Perioden;43;2066;;
2067JJ00;0;Perioden;44;2067;;
2068JJ00;0;Perioden;45;2068;;
2069JJ00;0;Perioden;46;2069;;
2070JJ00;0;Perioden;47;2070;;
