"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"CPI afgeleid (2015 = 100)";"Maandmutatie CPI (%)";"Maandmutatie CPI afgeleid (%)";"Jaarmutatie CPI (%)";"Jaarmutatie CPI afgeleid (%)"
"000000 Alle bestedingen";"2011";93,73;95,74;;;2,3;2,2
"000000 Alle bestedingen";"2012";96,04;97,71;;;2,5;2,1
"000000 Alle bestedingen";"2013";98,44;98,97;;;2,5;1,3
"000000 Alle bestedingen";"2014";99,4;99,6;;;1;0,6
"000000 Alle bestedingen";"2015";100;100;;;0,6;0,4
"000000 Alle bestedingen";"2016";100,32;100,25;;;0,3;0,3
"000000 Alle bestedingen";"2017";101,7;101,62;;;1,4;1,4
"000000 Alle bestedingen";"2018";103,44;103,01;;;1,7;1,4
"000000 Alle bestedingen";"2019";106,16;104,64;;;2,6;1,6
"000000 Alle bestedingen";"2020";107,51;105,94;;;1,3;1,2
"000000 Alle bestedingen";"2021";110,39;108,55;;;2,7;2,5
"000000 Alle bestedingen";"2022";121,43;121,31;;;10;11,8
"000000 Alle bestedingen";"2023";126,09;124,98;;;3,8;3
