"Kenmerken van huishoudens";"Perioden";"Particuliere huishoudens (x 1 000)";"Gemiddeld besteedbaar inkomen (1 000 euro)";"Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Gemiddeld besteed bedrag (1 000 euro)";"Mediaan vermogen (1 000 euro)";"Huishoudens met laag inkomen  (%)";"Ongelijkheid inkomen (Ginicoëfficiënt)";"Ongelijkheid vermogen  (Ginicoëfficiënt)"
"Hoofdkostwinner: 65 jaar of ouder";"2011";1705,1;29,1;23,7;;97,5;2,3;0,241;0,701
"Hoofdkostwinner: 65 jaar of ouder";"2012";1779,8;30;24,5;;98;3,2;0,247;0,704
"Hoofdkostwinner: 65 jaar of ouder";"2013";1847,8;30;24,4;;93,4;3,6;0,242;0,722
"Hoofdkostwinner: 65 jaar of ouder";"2014";1892,1;31,8;25,8;;96,6;3,2;0,256;0,721
"Hoofdkostwinner: 65 jaar of ouder";"2015";1954;31,1;25,4;30,5;101,1;2,6;0,237;0,719
"Hoofdkostwinner: 65 jaar of ouder";"2016";2004,3;31,9;26;;106,2;2,5;0,239;0,717
"Hoofdkostwinner: 65 jaar of ouder";"2017";2057,9;33,2;27;;114,9;2,7;0,254;0,714
"Hoofdkostwinner: 65 jaar of ouder";"2018";2102,9;33,5;26,9;;128;3;0,242;0,708
"Hoofdkostwinner: 65 jaar of ouder";"2019";2151,8;36;28,8;;144,6;3,1;0,261;0,697
"Hoofdkostwinner: 65 jaar of ouder";"2020";2198,3;36,2;28,9;30,4;161,7;3,1;0,244;0,694
"Hoofdkostwinner: 65 jaar of ouder";"2021";2242,4;37,4;29,9;;189,8;2,7;0,24;0,671
"Hoofdkostwinner: 65 jaar of ouder";"2022";2288,2;39,5;31,7;;244,9;2;0,237;0,658
"Hoofdkostwinner: 65 jaar of ouder";"2023*";2335,4;43,1;34,5;;251,3;2,2;0,244;0,651
